BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM
MCO;2017;670780170;670000116;52;18980;5540;148;16957;89;32485;3872;59;16071;;;0;0;0;141;51465;9412;207;33028;7;3;;;8383;23;7938;;0;;;30;7941;;;8383;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;670780188;670014604;64;23360;4840;425;17255;40;14600;2208;133;6341;;;0;0;0;104;37960;7048;558;23596;;0;;;156;12;5794;;0;;;12;5794;;;156;0;0;0;0;0;0;0;0;0;;;;;9989;;8833;;;
MCO;2017;670780212;670014604;119;43435;5879;830;37091;38;13870;1943;12;5450;37;13505;2829;83;10178;194;70810;10651;925;52719;24;582;;;31767;13;5748;;0;;;37;6330;;;31767;0;0;0;0;0;0;0;0;0;;;;;12981;4673;2547;;;
MCO;2017;670780378;670000785;17;6205;1484;12;7523;55;20075;2951;309;9297;;;0;0;0;72;26280;4435;321;16820;60;4231;;;216;8;6491;;0;;;68;10722;;;216;0;1;1;1;0;0;0;1;1;;;;;;;;;;
MCO;2017;670780386;670000199;29;10585;2418;45;9922;41;14965;1625;52;4015;;;0;0;0;70;25550;4043;97;13937;;0;;;450;28;5999;;0;;;28;5999;;;450;;;;;;;;;;;;;;;;;;;
MCO;2017;670781574;670000652;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;12909;;0;;0;;;;0;;;12909;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;670783133;670780055;24;8760;816;11;8622;;;0;0;0;;;0;0;0;24;8760;816;11;8622;10;1638;;;4;;0;;0;;;10;1638;;;4;0;0;0;0;0;0;0;0;0;;;;;1216;;6912;3;;1
MCO;2017;670783273;670780055;461;165064;31265;5980;165319;280;102200;10197;100;56856;93;32587;6043;257;22552;834;299851;47505;6337;244727;57;5956;;;15387;26;4750;10;1765;;;93;12471;;;15387;0;0;1;1;1;1;0;0;0;;30;30;;154553;7034;114729;2182;5111;25352
MCO;2017;670795921;670000652;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;21145;;0;;0;;;;0;;;21145;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;670797539;670014604;26;9490;432;28;7801;;;0;0;0;;;0;0;0;26;9490;432;28;7801;6;1849;;;2;;0;;0;;;6;1849;;;2;0;0;0;0;0;0;0;0;0;;;;;2500;;350;;;
MCO;2017;670798636;670014604;30;10950;1132;228;8846;5;1825;61;0;71;;;0;0;0;35;12775;1193;228;8917;1;348;;;641;5;1468;;0;;;6;1816;;;641;0;0;0;0;0;0;0;0;0;;;;;14282;2509;17946;;241;
MCO;2017;670799667;670000652;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;15281;;0;;0;;;;0;;;15281;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;680000122;680020336;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;10;952;;;0;;0;;0;;;10;952;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;680000320;680000643;89;32485;8837;2320;27718;66;24090;3456;453;11234;48;17520;2171;45;9201;203;74095;14464;2818;48153;;0;;;44;24;8978;;0;;;24;8978;;;44;;;;;;;;;;;;;;;;;;;
MCO;2017;680000338;680000114;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;24791;;0;;0;;;;0;;;24791;;;;;;;;;;;;;;;;;;;
MCO;2017;680000494;680000643;32;11680;2676;6;10887;134;48910;7393;14;28360;;;0;0;0;166;60590;10069;20;39247;;0;;;1022;36;12478;;0;;;36;12478;;;1022;;;;;;;;;;;;;;;;;;;
MCO;2017;680000544;680020336;58;23226;2194;141;20425;18;6750;1325;57;6465;14;5110;665;153;1691;90;35086;4184;351;28581;8;653;;;603;7;947;;0;;;15;1600;;;603;0;1;0;0;0;0;0;0;1;;;;;14284;234;37966;;2691;3082
