BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;PCON;PACT;PDEN
MCO;2014;830000311;830100566;218;78110;13721;866;72773;72;25640;3326;58;18225;40;14600;2384;51;9858;330;118350;19431;975;100856;26;2289;1;267;5653;8;1182;1;614;0;0;35;4085;1;267;5653;1;1;0;1;1;1;1;1;1;;71;43;38;53536;8415;157
MCO;2014;830000337;830100590;38;13870;3027;625;11806;;;0;0;0;15;5475;777;93;2741;53;19345;3804;718;14547;4;52;;;765;;0;0;201;;;4;253;;;765;0;0;0;0;0;1;0;0;0;;;;;3226;444;
MCO;2014;830000345;830100616;395;129053;24336;3455;120131;135;48299;8582;373;43095;53;19328;4214;172;16257;583;196680;37132;4000;179483;43;3343;;;22315;10;2196;4;806;;;57;6345;;;22315;1;1;1;1;1;1;1;1;1;106;60;39;52;91779;16664;2756
MCO;2014;830009528;830100566;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;5;1513;0;;0;;0;;0;;;5;1513;0;;0;0;0;0;0;0;0;0;0;0;;;;;752;;
MCO;2014;830012688;830012639;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;182;;;23948;;0;;0;;;;182;;;23948;;;;;;;;;;;;;;;;
MCO;2014;830100103;830000022;17;6205;620;11;7382;72;26280;3850;168;13541;;;0;0;0;89;32485;4470;179;20923;30;61;;;21019;30;8229;;0;;;60;8290;;;21019;;;;;;;;;;;;;;;;
MCO;2014;830100251;830000063;22;8030;785;29;4833;50;18250;2558;127;9188;;;16;16;0;72;26280;3359;172;14021;0;0;;;3066;25;4868;;0;;;25;4868;;;3066;;;;;;;;;;;;;;;;
MCO;2014;830100319;750052425;120;41079;5987;626;23894;50;16425;3865;252;15366;;;0;0;0;170;57504;9852;878;39260;;0;;;34;24;6320;;0;;;24;6320;;;34;;;;;;;;;;;;;;;;
MCO;2014;830100327;830000105;;;0;0;0;41;14965;1839;4;6154;;;0;0;0;41;14965;1839;4;6154;;0;;;0;30;6709;;0;;;30;6709;;;0;0;0;0;0;0;0;0;0;0;;;;;1339;0;0
MCO;2014;830100368;830000147;;;0;0;0;59;21535;1797;25;6974;;;3;1;9;59;21535;1800;26;6983;;0;;;0;18;4338;;0;;;18;4338;;;0;;;;;;;;;;;;;;;;
