BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;PCON;PDEN;PACT
MCO;2015;920000643;920150034;128;43833;5565;319;34878;52;17996;4046;1265;12194;54;18841;3661;46;16091;234;80670;13272;1630;63163;23;463;;;3647;8;1271;4;227;;;35;1961;;;3647;1;0;1;1;0;1;;1;0;;;;;86275;;62911
MCO;2015;920000650;920150059;258;91598;17266;1897;88151;151;59626;7440;47;34264;58;21160;4374;19;16828;467;172384;29080;1963;139243;67;4008;;;14800;17;4132;2;218;;;86;8358;;;14800;1;1;1;1;1;0;1;1;1;39;109;;46;250548;4820;180349
MCO;2015;920000684;920150091;91;33031;3580;72;32398;109;38714;4269;646;17831;;;0;0;0;200;71745;7849;718;50229;8;1381;;;0;;0;;0;;;8;1381;;;0;1;0;0;0;0;0;1;0;0;;;;;56828;;3364
MCO;2015;920100013;750712184;279;101835;15089;1740;79145;121;44165;5378;85;33366;0;0;0;0;0;400;146000;20467;1825;112511;26;6683;0;0;7989;9;3164;0;0;0;0;35;9847;0;0;7989;1;1;1;1;1;1;1;1;1;73;;47;53;166203;1075;48024
MCO;2015;920100021;750712184;252;91980;15838;1977;84242;66;24090;2928;99;18459;70;25550;5374;307;21782;388;141620;24140;2383;124483;18;3911;0;0;3333;8;487;10;3041;0;0;36;7439;0;0;3333;1;0;1;1;0;1;0;0;0;45;;33;;224386;0;366649
MCO;2015;920100039;750712184;174;63510;10492;919;62335;196;71540;6283;385;48566;15;5475;1993;315;6226;385;140525;18768;1619;117127;29;3721;;;7647;2;246;2;448;;;33;4415;;;7647;;;;1;;;;;;;;;;;;
MCO;2015;920100047;750712184;171;56559;9773;1130;59838;26;9490;1308;21;7987;68;24820;5279;799;19584;265;90869;16360;1950;87409;13;2864;;;3204;1;150;4;1261;;;18;4275;;;3204;1;1;1;1;0;1;1;1;1;;;;54;;;
MCO;2015;920100054;750712184;173;60086;4839;193;40530;62;19509;2028;18;14124;0;0;0;0;0;235;79595;6867;211;54654;25;6673;;;317;1;2114;0;0;;;26;8787;;;317;0;0;0;0;1;1;0;0;0;;37;48;;53255;0;18165
MCO;2015;920100062;750712184;20;7300;530;4;6373;0;0;0;0;0;0;0;0;0;0;20;7300;530;4;6373;2;293;;;0;0;0;0;498;;;2;791;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;920120011;750821092;135;49275;6258;445;37715;98;35770;3388;89;22162;;;0;0;0;233;85045;9646;534;59877;14;765;;;3053;15;2381;;0;;;29;3146;;;3053;1;1;0;1;0;0;1;1;1;;;;53;170036;6757;25826
MCO;2015;920300043;920001526;112;40880;7853;1045;51526;163;59495;8018;180;33161;58;21170;4005;0;15323;333;121545;19876;1225;100010;10;191;;;24569;59;22693;4;1303;;;73;24187;;;24569;;;;;;;;;;;;;;;;
